,test_type,sql_query,sql_result,llm_user_query,llm_sql_query,llm_result,correct_result
157,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The Paducah Bank and Trust Company"" ",914652,What is the maximum total assets The Paducah Bank and Trust Company ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""The Paducah Bank and Trust Company""",914652,1
158,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The Multnomah Bank""",1990-10-04 00:00:00,What was the last update for The Multnomah Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""The Multnomah Bank"" LIMIT 1",1990-10-04 00:00:00,1
159,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The Multnomah Bank"" ",,What is the maximum total assets The Multnomah Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_6370""",973981,0
160,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Itasca Bank & Trust Co.""",2022-08-31 00:00:00,What was the last update for Itasca Bank & Trust Co.?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Itasca Bank & Trust Co.""",2022-08-31 00:00:00,1
161,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Itasca Bank & Trust Co."" ",732069,What is the maximum total assets Itasca Bank & Trust Co. ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE dw_financial_institution_profiles.institution_name = ""Itasca Bank & Trust Co.""",732069,1
162,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Washington State Bank""",2022-08-31 00:00:00,What was the last update for Washington State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Washington State Bank' LIMIT 1",2022-08-31 00:00:00,1
163,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Washington State Bank"" ",548508,What is the maximum total assets Washington State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE state = ""WA""",29168446335,0
164,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First National Bank of Sebring""",1990-10-04 00:00:00,What was the last update for First National Bank of Sebring?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""First National Bank of Sebring""",1990-10-04 00:00:00,1
165,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First National Bank of Sebring"" ",,What is the maximum total assets First National Bank of Sebring ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,1
166,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Southeast National Bank of Bradenton""",1990-10-04 00:00:00,What was the last update for Southeast National Bank of Bradenton?,"SELECT last_update FROM dw_financial_institution_profiles WHERE institution_name = ""Southeast National Bank of Bradenton"" LIMIT 1",1990-10-04 00:00:00,1
167,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Southeast National Bank of Bradenton"" ",,What is the maximum total assets Southeast National Bank of Bradenton ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,1
168,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Commerce Bank of Lebanon, National Association""",1996-07-10 00:00:00,"What was the last update for Commerce Bank of Lebanon, National Association?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Commerce Bank of Lebanon, National Association""",1996-07-10 00:00:00,1
169,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Commerce Bank of Lebanon, National Association"" ",103663,"What is the maximum total assets Commerce Bank of Lebanon, National Association ever had?","SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE dw_financial_institution_profiles.institution_name = ""Commerce Bank of Lebanon, National Association""",103663,1
170,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Florida Coast Bank of Palm Beach County""",1990-10-04 00:00:00,What was the last update for Florida Coast Bank of Palm Beach County?,"SELECT last_update FROM dw_financial_institution_profiles WHERE institution_name = ""Florida Coast Bank of Palm Beach County"" LIMIT 1",1990-10-04 00:00:00,1
171,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Florida Coast Bank of Palm Beach County"" ",,What is the maximum total assets Florida Coast Bank of Palm Beach County ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,1
172,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Farmers and Merchants Bank""",1997-11-14 00:00:00,What was the last update for Farmers and Merchants Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Farmers and Merchants Bank' LIMIT 1",1997-11-14 00:00:00,1
173,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Farmers and Merchants Bank"" ",840015,What is the maximum total assets Farmers and Merchants Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
174,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Farmers & Merchants Bank""",1991-01-15 00:00:00,What was the last update for Farmers & Merchants Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Farmers & Merchants Bank' LIMIT 1",1991-01-15 00:00:00,1
175,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Farmers & Merchants Bank"" ",1280442,What is the maximum total assets Farmers & Merchants Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""Farmers & Merchants Bank""",1280442,1
176,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Farmers & Merchants State Bank of Krum""",2005-03-31 00:00:00,What was the last update for Farmers & Merchants State Bank of Krum?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Farmers & Merchants State Bank of Krum""",2005-03-31 00:00:00,1
177,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Farmers & Merchants State Bank of Krum"" ",155255,What is the maximum total assets Farmers & Merchants State Bank of Krum ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""Farmers & Merchants State Bank of Krum""",155255,1
178,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Banner Bank of Oregon""",2001-11-06 00:00:00,What was the last update for Banner Bank of Oregon?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Banner Bank of Oregon""",2001-11-06 00:00:00,1
179,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Banner Bank of Oregon"" ",230315,What is the maximum total assets Banner Bank of Oregon ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_6370""",973981,0
180,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The Delta State Bank""",2001-05-02 00:00:00,What was the last update for The Delta State Bank?,"SELECT last_update FROM dw_financial_institution_profiles WHERE institution_name = ""The Delta State Bank""",2001-05-02 00:00:00,1
181,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The Delta State Bank"" ",8017,What is the maximum total assets The Delta State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_3""",1699404,0
182,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The First State Bank""",1999-05-06 00:00:00,What was the last update for The First State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'The First State Bank' LIMIT 1",1999-05-06 00:00:00,1
183,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The First State Bank"" ",803367,What is the maximum total assets The First State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
184,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Security State Bank of Deer Creek""",2003-01-02 00:00:00,What was the last update for Security State Bank of Deer Creek?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Security State Bank of Deer Creek""",2003-01-02 00:00:00,1
185,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Security State Bank of Deer Creek"" ",14649,What is the maximum total assets Security State Bank of Deer Creek ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
186,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First State Bank & Trust Company in Leesburg""",1990-10-04 00:00:00,What was the last update for First State Bank & Trust Company in Leesburg?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""First State Bank & Trust Company"" AND dw_financial_institution_profiles.city = ""Leesburg""",,0
187,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First State Bank & Trust Company in Leesburg"" ",11098,What is the maximum total assets First State Bank & Trust Company in Leesburg ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""First State Bank & Trust Company"" AND city = ""Leesburg""",,0
188,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Citizens Bank""",1996-07-23 00:00:00,What was the last update for Citizens Bank?,"SELECT last_update FROM dw_financial_institution_profiles WHERE institution_name = ""Citizens Bank"" LIMIT 1",1996-07-23 00:00:00,1
189,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Citizens Bank"" ",9309422,What is the maximum total assets Citizens Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
190,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""State Bank of Campbell""",1990-10-30 00:00:00,What was the last update for State Bank of Campbell?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""State Bank of Campbell""",1990-10-30 00:00:00,1
191,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""State Bank of Campbell"" ",21147,What is the maximum total assets State Bank of Campbell ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
192,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First National Bank of Borger""",1990-10-04 00:00:00,What was the last update for First National Bank of Borger?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""First National Bank of Borger""",1990-10-04 00:00:00,1
193,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First National Bank of Borger"" ",80113,What is the maximum total assets First National Bank of Borger ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
194,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Todd County State Bank""",1990-10-04 00:00:00,What was the last update for Todd County State Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Todd County State Bank""",1990-10-04 00:00:00,1
195,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Todd County State Bank"" ",15410,What is the maximum total assets Todd County State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
196,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Higbee Savings Bank""",1995-10-05 00:00:00,What was the last update for Higbee Savings Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Higbee Savings Bank""",1995-10-05 00:00:00,1
197,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Higbee Savings Bank"" ",,What is the maximum total assets Higbee Savings Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_6370""",973981,0
198,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Union State Bank""",1990-10-04 00:00:00,What was the last update for Union State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Union State Bank'",1990-10-04 00:00:00,1
199,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Union State Bank"" ",2829590,What is the maximum total assets Union State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
0,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""The Merchants & Planters Bank""",2022-08-31 00:00:00,What was the last update for The Merchants & Planters Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""The Merchants & Planters Bank"" LIMIT 1",2022-08-31 00:00:00,1
1,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""The Merchants & Planters Bank"" ",45573,What is the maximum total assets The Merchants & Planters Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""The Merchants & Planters Bank""",45573,1
2,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Gibsland Bank & Trust Company""",2022-08-31 00:00:00,What was the last update for Gibsland Bank & Trust Company?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Gibsland Bank & Trust Company'",2022-08-31 00:00:00,1
3,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Gibsland Bank & Trust Company"" ",478045,What is the maximum total assets Gibsland Bank & Trust Company ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
4,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Norwest Bank Texas, Crane""",1996-02-12 00:00:00,"What was the last update for Norwest Bank Texas, Crane?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Norwest Bank Texas, Crane""",1996-02-12 00:00:00,1
5,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Norwest Bank Texas, Crane"" ",23132,"What is the maximum total assets Norwest Bank Texas, Crane ever had?","SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_6370""",973981,0
6,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Century North Shore Bank and Trust Company""",1992-11-24 00:00:00,What was the last update for Century North Shore Bank and Trust Company?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Century North Shore Bank and Trust Company""",1992-11-24 00:00:00,1
7,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Century North Shore Bank and Trust Company"" ",92782,What is the maximum total assets Century North Shore Bank and Trust Company ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
8,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Leslie State Bank""",1990-10-04 00:00:00,What was the last update for Leslie State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE institution_name = 'Leslie State Bank'",1990-10-04 00:00:00,1
9,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Leslie State Bank"" ",9607,What is the maximum total assets Leslie State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_6370""",973981,0
10,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First State Bank""",1999-05-05 00:00:00,What was the last update for First State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'First State Bank' LIMIT 1",1999-05-05 00:00:00,1
11,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First State Bank"" ",1900083,What is the maximum total assets First State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
12,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Standard State Bank and Trust""",1991-12-18 00:00:00,What was the last update for Standard State Bank and Trust?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Standard State Bank and Trust""",1991-12-18 00:00:00,1
13,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Standard State Bank and Trust"" ",75634,What is the maximum total assets Standard State Bank and Trust ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""Standard State Bank and Trust""",75634,1
14,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Texas Commerce Bank-First State""",1990-10-04 00:00:00,What was the last update for Texas Commerce Bank-First State?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Texas Commerce Bank-First State""",1990-10-04 00:00:00,1
15,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Texas Commerce Bank-First State"" ",85514,What is the maximum total assets Texas Commerce Bank-First State ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE dw_financial_institution_profiles.institution_name = ""Texas Commerce Bank-First State""",85514,1
16,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Bank Chase""",1996-10-24 00:00:00,What was the last update for Bank Chase?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Bank Chase"" LIMIT 1",1996-10-24 00:00:00,1
17,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Bank Chase"" ",4688,What is the maximum total assets Bank Chase ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1546""",44180,0
18,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Citizens National Bank & Trust Co., Oklahoma City, Oklahoma""",1990-10-04 00:00:00,"What was the last update for Citizens National Bank & Trust Co., Oklahoma City, Oklahoma?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Citizens National Bank & Trust Co., Oklahoma City, Oklahoma""",1990-10-04 00:00:00,1
19,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Citizens National Bank & Trust Co., Oklahoma City, Oklahoma"" ",179081,"What is the maximum total assets Citizens National Bank & Trust Co., Oklahoma City, Oklahoma ever had?","SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE institution_name = ""Citizens National Bank & Trust Co., Oklahoma City, Oklahoma""",179081,1
20,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""First Texoma Bank""",2005-05-17 00:00:00,What was the last update for First Texoma Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'First Texoma Bank' LIMIT 1",2005-05-17 00:00:00,1
21,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""First Texoma Bank"" ",42860,What is the maximum total assets First Texoma Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
22,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""American State Bank""",1990-10-04 00:00:00,What was the last update for American State Bank?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""American State Bank""",1990-10-04 00:00:00,1
23,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""American State Bank"" ",3153815,What is the maximum total assets American State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
24,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""United Illinois Bank of Troy""",1990-10-04 00:00:00,What was the last update for United Illinois Bank of Troy?,"SELECT last_update FROM dw_financial_institution_profiles WHERE institution_name = ""United Illinois Bank of Troy"" LIMIT 1",1990-10-04 00:00:00,1
25,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""United Illinois Bank of Troy"" ",31117,What is the maximum total assets United Illinois Bank of Troy ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
26,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Bank One, Utah, National Association""",2001-12-12 00:00:00,"What was the last update for Bank One, Utah, National Association?","SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""Bank One, Utah, National Association""",2001-12-12 00:00:00,1
27,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Bank One, Utah, National Association"" ",1265995,"What is the maximum total assets Bank One, Utah, National Association ever had?","SELECT MAX(total_assets) FROM dw_financial_institution_money INNER JOIN dw_financial_institution_profiles ON dw_financial_institution_money.inst_id = dw_financial_institution_profiles.inst_id WHERE dw_financial_institution_profiles.institution_name = ""Bank One, Utah, National Association""",1265995,1
28,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""BANKWEST""",2022-08-31 00:00:00,What was the last update for BANKWEST?,"SELECT dw_financial_institution_profiles.last_update FROM dw_financial_institution_profiles WHERE dw_financial_institution_profiles.institution_name = ""BANKWEST""",2022-08-31 00:00:00,1
29,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""BANKWEST"" ",244773,What is the maximum total assets BANKWEST ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_41921""",582519,0
30,last_update,"SELECT last_update FROM dw_financial_institution_profiles AS p WHERE p.institution_name = ""Center State Bank""",1999-05-05 00:00:00,What was the last update for Center State Bank?,"SELECT ""last_update"" FROM dw_financial_institution_profiles WHERE ""institution_name"" = 'Center State Bank' LIMIT 1",1999-05-05 00:00:00,1
31,join_max,"SELECT max(total_assets) FROM dw_financial_institution_money AS m LEFT JOIN dw_financial_institution_profiles AS p ON p.inst_id = m.inst_id WHERE p.institution_name = ""Center State Bank"" ",77103,What is the maximum total assets Center State Bank ever had?,"SELECT MAX(total_assets) FROM dw_financial_institution_money WHERE inst_id = ""b_1""",,0
